dimension,lambda,alpha,epsilon,shift_type,model_type,target_mode,n_train,n_test,sigma,seed,kl_divergence,chi_squared_divergence,chi2_weight_mean,chi2_weight_variance,ess,weight_mean,weight_variance,weight_max,weight_min,weight_q1,weight_median,weight_q3,train_mse,test_mse,train_rmse,test_rmse,generalisation_gap
2,0.0,1.0,0.2,combined,rbf_svr,linear,1000,1000,0.1,1,-5.551115123125783e-18,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.01778785610497299,0.0225845760046404,0.13337112170546137,0.15028165558257733,0.004796719899667411
2,0.0,1.0,0.2,combined,rbf_svr,linear,1000,1000,0.1,2,-3.7747582837255325e-18,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.013035067086958308,0.027444107556174113,0.11417121829497269,0.1656626317434747,0.014409040469215805
2,0.0,1.0,0.3,mean,ols,linear,1000,1000,0.1,0,1.2745360322696796e-16,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.010071505478150807,0.010857750417920215,0.1003568905364789,0.10420052983512232,0.0007862449397694083
2,0.0,1.0,0.3,mean,ols,linear,1000,1000,0.1,1,1.2878587085651815e-16,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.009918032627767298,0.010783073909334733,0.09958931984789984,0.10384158083029521,0.0008650412815674347
2,0.0,1.0,0.3,mean,ols,linear,1000,1000,0.1,2,1.3433698597964394e-16,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.00981590559144587,0.009967438673335686,0.09907525216443241,0.09983706062047143,0.00015153308188981668
2,0.0,1.0,0.3,combined,ols,linear,1000,1000,0.1,0,1.2745360322696796e-16,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.010071505478150807,0.010857750417920215,0.1003568905364789,0.10420052983512232,0.0007862449397694083
2,0.0,1.0,0.3,combined,ols,linear,1000,1000,0.1,1,1.2878587085651815e-16,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.009918032627767298,0.010783073909334733,0.09958931984789984,0.10384158083029521,0.0008650412815674347
2,0.0,1.0,0.3,combined,ols,linear,1000,1000,0.1,2,1.3433698597964394e-16,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.00981590559144587,0.009967438673335686,0.09907525216443241,0.09983706062047143,0.00015153308188981668
2,0.0,1.0,0.3,mean,rbf_svr,linear,1000,1000,0.1,0,1.2745360322696796e-16,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.016906711401992795,0.018798583606841807,0.13002581052234513,0.1371079268563339,0.001891872204849012
2,0.0,1.0,0.3,mean,rbf_svr,linear,1000,1000,0.1,1,1.2878587085651815e-16,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.01778785610497299,0.02435642310120354,0.13337112170546137,0.15606544493001498,0.006568566996230551
2,0.0,1.0,0.3,mean,rbf_svr,linear,1000,1000,0.1,2,1.3433698597964394e-16,0.0,1.0,0.0,1000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.013035067086958308,0.024377555751308386,0.11417121829497269,0.15613313470019227,0.011342488664350078
